"Series, GDP(P), Chain volume, Actual, Total (Qrtly-Mar/Jun/Sep/Dec)",""
"","Gross Domestic Product - production measure"
"1987Q2",27608
"1987Q3",27752
"1987Q4",29113
"1988Q1",28079
"1988Q2",27643
"1988Q3",27673
"1988Q4",28714
"1989Q1",28123
"1989Q2",27954
"1989Q3",27590
"1989Q4",28916
"1990Q1",27875
"1990Q2",27518
"1990Q3",27690
"1990Q4",29522
"1991Q1",27776
"1991Q2",27199
"1991Q3",27210
"1991Q4",28937
"1992Q1",27933
"1992Q2",27517
"1992Q3",27248
"1992Q4",29202
"1993Q1",28530
"1993Q2",28713
"1993Q3",29233
"1993Q4",31271
"1994Q1",30470
"1994Q2",30214
"1994Q3",30670
"1994Q4",32969
"1995Q1",31961
"1995Q2",31905
"1995Q3",32148
"1995Q4",34394
"1996Q1",33309
"1996Q2",33132
"1996Q3",33342
"1996Q4",35928
"1997Q1",34118
"1997Q2",34290
"1997Q3",34261
"1997Q4",36379
"1998Q1",34388
"1998Q2",34045
"1998Q3",34248
"1998Q4",36794
"1999Q1",35344
"1999Q2",35093
"1999Q3",36309
"1999Q4",39085
"2000Q1",37599
"2000Q2",37023
"2000Q3",37514
"2000Q4",39901
"2001Q1",37949
"2001Q2",37887
"2001Q3",38588
"2001Q4",41506
"2002Q1",39686
"2002Q2",39638
"2002Q3",40524
"2002Q4",43447
"2003Q1",41428
"2003Q2",41082
"2003Q3",42380
"2003Q4",45338
"2004Q1",43747
"2004Q2",43638
"2004Q3",44191
"2004Q4",46763
"2005Q1",44904
"2005Q2",45165
"2005Q3",45816
"2005Q4",48084
"2006Q1",46392
"2006Q2",46195
"2006Q3",46944
"2006Q4",49839
"2007Q1",47757
"2007Q2",47799
"2007Q3",48692
"2007Q4",51474
"2008Q1",48626
"2008Q2",48058
"2008Q3",48388
"2008Q4",50648
"2009Q1",47473
"2009Q2",47091
"2009Q3",47769
"2009Q4",51035
"2010Q1",48388
"2010Q2",48462
"2010Q3",48720
"2010Q4",51197
"2011Q1",48927
"2011Q2",48908
"2011Q3",49739
"2011Q4",52828
"2012Q1",50484
"2012Q2",50179
"2012Q3",50588
"2012Q4",54265
"2013Q1",51450
"2013Q2",51355
"2013Q3",52130
"2013Q4",55293
"2014Q1",53131
"2014Q2",52787
"2014Q3",53900
"2014Q4",57899
"2015Q1",55007
"2015Q2",54818
"2015Q3",55850
"2015Q4",59685
"2016Q1",57188
"2016Q2",57100
"2016Q3",58164
"2016Q4",61746
"2017Q1",58899
"2017Q2",58880
"2017Q3",59870
"2017Q4",63810
"2018Q1",60811
"2018Q2",60750
"2018Q3",61652
"2018Q4",65922
"2019Q1",62641
"2019Q2",62019
"2019Q3",63058
"2019Q4",67111
"Table information:"
"Units:"
"$, Magnitude = Millions"
""
"Footnotes:"
"Chain-volume series expressed in 2009/10 prices."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"SNE052AA"
""
"Last updated:"
"19 March 2020 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
