Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,20100101:0800,20.5,24,15.3,24,13.9,24,-,-,-,D
1962,20100102:0800,21.5,24,15.3,24,13.8,24,-,-,-,D
1962,20100103:0800,24.1,24,13.9,24,11.8,24,-,-,-,D
1962,20100104:0800,26.0,24,19.2,24,18.4,24,-,-,-,D
1962,20100105:0800,21.2,24,15.7,24,13.8,24,-,-,-,D
1962,20100106:0800,20.6,24,11.0,24,8.8,24,-,-,-,D
1962,20100107:0800,24.2,24,14.0,24,10.8,24,-,-,-,D
1962,20100108:0800,24.0,24,15.4,24,13.1,24,-,-,-,D
1962,20100109:0800,22.6,24,13.8,24,11.2,24,-,-,-,D
1962,20100110:0800,20.7,24,10.5,24,8.5,24,-,-,-,D
1962,20100111:0800,22.2,24,14.4,24,13.7,24,-,-,-,D
1962,20100112:0800,20.4,24,12.1,24,10.6,24,-,-,-,D
1962,20100113:0800,21.3,24,15.3,24,13.7,24,-,-,-,D
1962,20100114:0800,21.3,24,15.5,24,14.2,24,-,-,-,D
1962,20100115:0800,23.0,24,14.5,24,12.8,24,-,-,-,D
1962,20100116:0800,24.9,24,17.4,24,15.7,24,-,-,-,D
1962,20100117:0800,26.1,24,16.8,24,15.3,24,-,-,-,D
1962,20100118:0800,22.5,24,17.7,24,17.0,24,-,-,-,D
1962,20100119:0800,25.2,24,18.0,24,16.3,24,-,-,-,D
1962,20100120:0800,26.3,24,18.0,24,17.3,24,-,-,-,D
1962,20100121:0800,25.7,24,19.5,24,18.4,24,-,-,-,D
1962,20100122:0800,24.6,24,16.9,24,15.8,24,-,-,-,D
1962,20100123:0800,22.2,24,16.4,24,15.6,24,-,-,-,D
1962,20100124:0800,21.8,24,17.4,24,17.0,24,-,-,-,D
1962,20100125:0800,21.1,24,15.6,24,13.8,24,-,-,-,D
1962,20100126:0800,26.5,24,17.7,24,15.7,24,-,-,-,D
1962,20100127:0800,25.7,24,16.6,24,14.4,24,-,-,-,D
1962,20100128:0800,26.5,24,16.3,24,14.2,24,-,-,-,D
1962,20100129:0800,26.2,24,16.3,24,14.3,24,-,-,-,D
1962,20100130:0800,27.8,24,16.5,24,15.1,24,-,-,-,D
1962,20100131:0800,27.8,24,19.9,24,18.5,24,-,-,-,D
1962,20100201:0800,24.0,24,19.6,24,18.1,24,-,-,-,D
1962,20100202:0800,25.1,24,19.9,24,18.8,24,-,-,-,D
1962,20100203:0800,24.6,24,17.1,24,15.9,24,-,-,-,D
1962,20100204:0800,26.4,24,17.0,24,15.5,24,-,-,-,D
1962,20100205:0800,25.5,24,16.7,24,14.1,24,-,-,-,D
1962,20100206:0800,24.8,24,18.2,24,16.7,24,-,-,-,D
1962,20100207:0800,25.2,24,18.5,24,17.1,24,-,-,-,D
1962,20100208:0800,25.9,24,16.3,24,14.3,24,-,-,-,D
1962,20100209:0800,24.9,24,17.6,24,16.1,24,-,-,-,D
1962,20100210:0800,25.4,24,18.2,24,16.2,24,-,-,-,D
1962,20100211:0800,23.9,24,18.1,24,17.3,24,-,-,-,D
1962,20100212:0800,25.4,24,15.7,24,14.6,24,-,-,-,D
1962,20100213:0800,26.9,24,19.4,24,17.8,24,-,-,-,D
1962,20100214:0800,26.7,24,20.7,24,19.2,24,-,-,-,D
1962,20100215:0800,25.4,24,19.4,24,17.8,24,-,-,-,D
1962,20100216:0800,24.2,24,19.0,24,18.5,24,-,-,-,D
1962,20100217:0800,25.5,24,20.3,24,19.7,24,-,-,-,D
1962,20100218:0800,27.9,24,20.2,24,19.5,24,-,-,-,D
1962,20100219:0800,26.5,24,17.8,24,16.0,24,-,-,-,D
1962,20100220:0800,22.6,24,15.3,24,14.1,24,-,-,-,D
1962,20100221:0800,24.2,24,13.9,24,10.8,24,-,-,-,D
1962,20100222:0800,24.2,24,14.1,24,11.9,24,-,-,-,D
1962,20100223:0800,25.9,24,18.4,24,15.9,24,-,-,-,D
1962,20100224:0800,27.3,24,17.7,24,16.1,24,-,-,-,D
1962,20100225:0800,27.6,24,20.9,24,20.3,24,-,-,-,D
1962,20100226:0800,25.0,24,18.0,24,16.1,24,-,-,-,D
1962,20100227:0800,24.0,24,14.7,24,12.4,24,-,-,-,D
1962,20100228:0800,26.5,24,14.8,24,11.8,24,-,-,-,D
1962,20100301:0800,25.8,24,16.8,24,13.3,24,-,-,-,D
1962,20100302:0800,27.4,24,16.6,24,14.7,24,-,-,-,D
1962,20100303:0800,24.9,24,17.7,24,15.9,24,-,-,-,D
1962,20100304:0800,22.5,24,17.2,24,14.8,24,-,-,-,D
1962,20100305:0800,22.9,24,14.9,24,11.9,24,-,-,-,D
1962,20100306:0800,24.2,24,16.9,24,13.8,24,-,-,-,D
1962,20100307:0800,27.3,24,13.9,24,10.0,24,-,-,-,D
1962,20100308:0800,24.3,24,13.0,24,8.1,24,-,-,-,D
1962,20100309:0800,23.9,24,13.4,24,9.8,24,-,-,-,D
1962,20100310:0800,24.8,24,15.3,24,11.6,24,-,-,-,D
1962,20100311:0800,24.7,24,18.0,24,16.1,24,-,-,-,D
1962,20100312:0800,24.8,24,16.4,24,14.2,24,-,-,-,D
1962,20100313:0800,22.0,24,10.8,24,6.6,24,-,-,-,D
1962,20100314:0800,21.6,24,13.7,24,14.1,24,-,-,-,D
1962,20100315:0800,23.0,24,17.1,24,16.8,24,-,-,-,D
1962,20100316:0800,23.0,24,15.2,24,15.0,24,-,-,-,D
1962,20100317:0800,20.1,24,15.9,24,14.4,24,-,-,-,D
1962,20100318:0800,23.0,24,7.5,24,2.2,24,-,-,-,D
1962,20100319:0800,19.3,24,11.0,24,13.5,24,-,-,-,D
1962,20100320:0800,20.1,24,16.4,24,14.3,24,-,-,-,D
1962,20100321:0800,23.5,24,15.3,24,10.8,24,-,-,-,D
1962,20100322:0800,23.2,24,15.1,24,11.5,24,-,-,-,D
1962,20100323:0800,24.0,24,16.0,24,12.0,24,-,-,-,D
1962,20100324:0800,23.2,24,14.3,24,10.4,24,-,-,-,D
1962,20100325:0800,23.7,24,16.1,24,13.0,24,-,-,-,D
1962,20100326:0800,20.8,24,16.4,24,14.8,24,-,-,-,D
1962,20100327:0800,22.3,24,16.9,24,16.1,24,-,-,-,D
1962,20100328:0800,22.8,24,16.9,24,13.8,24,-,-,-,D
1962,20100329:0800,24.2,24,15.8,24,14.2,24,-,-,-,D
1962,20100330:0800,21.5,24,11.4,24,6.0,24,-,-,-,D
1962,20100331:0800,22.8,24,13.5,24,10.7,24,-,-,-,D
1962,20100401:0800,21.9,24,13.7,24,11.2,24,-,-,-,D
1962,20100402:0800,21.4,24,13.6,24,8.9,24,-,-,-,D
1962,20100403:0800,22.1,24,11.9,24,6.0,24,-,-,-,D
1962,20100404:0900,22.8,24,13.6,24,9.0,24,-,-,-,D
1962,20100405:0900,22.3,24,14.7,24,10.9,24,-,-,-,D
1962,20100406:0900,24.2,24,14.8,24,12.1,24,-,-,-,D
1962,20100407:0900,21.7,24,13.3,24,11.6,24,-,-,-,D
1962,20100408:0900,19.8,24,9.7,24,5.3,24,-,-,-,D
1962,20100409:0900,20.2,24,9.3,24,4.7,24,-,-,-,D
1962,20100410:0900,20.5,24,9.8,24,4.4,24,-,-,-,D
1962,20100411:0900,21.3,24,9.3,24,4.3,24,-,-,-,D
1962,20100412:0900,22.4,24,10.5,24,5.3,24,-,-,-,D
1962,20100413:0900,21.7,24,12.6,24,7.4,24,-,-,-,D
1962,20100414:0900,20.2,24,16.5,24,14.3,24,-,-,-,D
1962,20100415:0900,21.3,24,15.4,24,12.6,24,-,-,-,D
1962,20100416:0900,20.8,24,15.6,24,13.6,24,-,-,-,D
1962,20100417:0900,19.6,24,8.6,24,3.7,24,-,-,-,D
1962,20100418:0900,18.1,24,13.1,24,12.9,24,-,-,-,D
1962,20100419:0900,20.7,24,14.7,24,13.1,24,-,-,-,D
1962,20100420:0900,20.1,24,14.9,24,13.5,24,-,-,-,D
1962,20100421:0900,19.0,24,10.7,24,5.8,24,-,-,-,D
1962,20100422:0900,19.6,24,14.2,24,11.9,24,-,-,-,D
1962,20100423:0900,18.1,24,13.5,24,10.1,24,-,-,-,D
1962,20100424:0900,20.3,24,14.0,24,10.7,24,-,-,-,D
1962,20100425:0900,21.3,24,13.6,24,10.5,24,-,-,-,D
1962,20100426:0900,22.4,24,14.5,24,9.8,24,-,-,-,D
1962,20100427:0900,22.1,24,18.3,24,17.1,24,-,-,-,D
1962,20100428:0900,21.3,24,11.7,24,8.7,24,-,-,-,D
1962,20100429:0900,19.4,24,12.4,24,10.1,24,-,-,-,D
1962,20100430:0900,20.4,24,10.0,24,7.1,24,-,-,-,D
1962,20100501:0900,21.7,24,14.9,24,13.0,24,-,-,-,D
1962,20100502:0900,18.1,24,9.2,24,4.1,24,-,-,-,D
1962,20100503:0900,17.7,24,7.6,24,3.9,24,-,-,-,D
1962,20100504:0900,17.5,24,12.2,24,9.1,24,-,-,-,D
1962,20100505:0900,18.2,24,8.6,24,3.2,24,-,-,-,D
1962,20100506:0900,18.5,24,6.7,24,1.0,24,-,-,-,D
1962,20100507:0900,16.8,24,10.3,24,12.5,24,-,-,-,D
1962,20100508:0900,17.9,24,13.6,24,11.9,24,-,-,-,D
1962,20100509:0900,17.4,24,13.3,24,11.8,24,-,-,-,D
1962,20100510:0900,19.5,24,11.5,24,5.4,24,-,-,-,D
1962,20100511:0900,21.1,24,12.1,24,6.5,24,-,-,-,D
1962,20100512:0900,20.4,24,16.3,24,15.2,24,-,-,-,D
1962,20100513:0900,19.3,24,15.9,24,14.1,24,-,-,-,D
1962,20100514:0900,21.9,24,12.3,24,9.0,24,-,-,-,D
1962,20100515:0900,20.2,24,15.2,24,13.7,24,-,-,-,D
1962,20100516:0900,19.4,24,12.4,24,10.6,24,-,-,-,D
1962,20100517:0900,19.4,24,10.9,24,6.6,24,-,-,-,D
1962,20100518:0900,17.8,24,9.5,24,6.3,24,-,-,-,D
1962,20100519:0900,17.9,24,7.8,24,3.5,24,-,-,-,D
1962,20100520:0900,17.8,24,8.3,24,4.1,24,-,-,-,D
