Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
01/01/2010,01/01/2010,N/A,UNI,Upper North Island,21.603
01/01/2010,01/01/2010,N/A,CNI,Central North Island,20.768
01/01/2010,01/01/2010,N/A,LNI,Lower North Island,15.805
01/01/2010,01/01/2010,N/A,USI,Upper South Island,13.712
01/01/2010,01/01/2010,N/A,LSI,Lower South Island,22.242
02/01/2010,02/01/2010,N/A,UNI,Upper North Island,21.830
02/01/2010,02/01/2010,N/A,CNI,Central North Island,20.249
02/01/2010,02/01/2010,N/A,LNI,Lower North Island,15.706
02/01/2010,02/01/2010,N/A,USI,Upper South Island,14.061
02/01/2010,02/01/2010,N/A,LSI,Lower South Island,22.262
03/01/2010,03/01/2010,N/A,UNI,Upper North Island,22.196
03/01/2010,03/01/2010,N/A,CNI,Central North Island,20.968
03/01/2010,03/01/2010,N/A,LNI,Lower North Island,15.669
03/01/2010,03/01/2010,N/A,USI,Upper South Island,14.324
03/01/2010,03/01/2010,N/A,LSI,Lower South Island,22.417
04/01/2010,04/01/2010,N/A,UNI,Upper North Island,23.422
04/01/2010,04/01/2010,N/A,CNI,Central North Island,20.884
04/01/2010,04/01/2010,N/A,LNI,Lower North Island,15.382
04/01/2010,04/01/2010,N/A,USI,Upper South Island,14.447
04/01/2010,04/01/2010,N/A,LSI,Lower South Island,22.794
05/01/2010,05/01/2010,N/A,UNI,Upper North Island,25.601
05/01/2010,05/01/2010,N/A,CNI,Central North Island,22.070
05/01/2010,05/01/2010,N/A,LNI,Lower North Island,13.677
05/01/2010,05/01/2010,N/A,USI,Upper South Island,15.552
05/01/2010,05/01/2010,N/A,LSI,Lower South Island,23.410
06/01/2010,06/01/2010,N/A,UNI,Upper North Island,26.305
06/01/2010,06/01/2010,N/A,CNI,Central North Island,22.074
06/01/2010,06/01/2010,N/A,LNI,Lower North Island,16.998
