Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200604110922

Parameters
Date range,01 Jan 2010 - 03 Jun 2020
Region type,New Zealand
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
01/01/2010,01/01/2010,N/A,NZ,New Zealand,94.134
02/01/2010,02/01/2010,N/A,NZ,New Zealand,94.100
03/01/2010,03/01/2010,N/A,NZ,New Zealand,95.578
04/01/2010,04/01/2010,N/A,NZ,New Zealand,96.927
05/01/2010,05/01/2010,N/A,NZ,New Zealand,100.307
06/01/2010,06/01/2010,N/A,NZ,New Zealand,104.917
07/01/2010,07/01/2010,N/A,NZ,New Zealand,107.654
08/01/2010,08/01/2010,N/A,NZ,New Zealand,105.648
09/01/2010,09/01/2010,N/A,NZ,New Zealand,97.014
10/01/2010,10/01/2010,N/A,NZ,New Zealand,98.764
11/01/2010,11/01/2010,N/A,NZ,New Zealand,104.976
12/01/2010,12/01/2010,N/A,NZ,New Zealand,105.657
13/01/2010,13/01/2010,N/A,NZ,New Zealand,103.684
14/01/2010,14/01/2010,N/A,NZ,New Zealand,106.742
15/01/2010,15/01/2010,N/A,NZ,New Zealand,108.818
16/01/2010,16/01/2010,N/A,NZ,New Zealand,100.145
17/01/2010,17/01/2010,N/A,NZ,New Zealand,96.858
18/01/2010,18/01/2010,N/A,NZ,New Zealand,107.319
19/01/2010,19/01/2010,N/A,NZ,New Zealand,107.986
20/01/2010,20/01/2010,N/A,NZ,New Zealand,110.234
21/01/2010,21/01/2010,N/A,NZ,New Zealand,110.385
22/01/2010,22/01/2010,N/A,NZ,New Zealand,107.158
23/01/2010,23/01/2010,N/A,NZ,New Zealand,97.918
24/01/2010,24/01/2010,N/A,NZ,New Zealand,94.192
25/01/2010,25/01/2010,N/A,NZ,New Zealand,104.310
26/01/2010,26/01/2010,N/A,NZ,New Zealand,105.145
27/01/2010,27/01/2010,N/A,NZ,New Zealand,105.847
28/01/2010,28/01/2010,N/A,NZ,New Zealand,106.315
29/01/2010,29/01/2010,N/A,NZ,New Zealand,106.655
30/01/2010,30/01/2010,N/A,NZ,New Zealand,96.958
31/01/2010,31/01/2010,N/A,NZ,New Zealand,98.059
01/02/2010,01/02/2010,N/A,NZ,New Zealand,106.155
02/02/2010,02/02/2010,N/A,NZ,New Zealand,111.466
03/02/2010,03/02/2010,N/A,NZ,New Zealand,112.459
04/02/2010,04/02/2010,N/A,NZ,New Zealand,111.191
05/02/2010,05/02/2010,N/A,NZ,New Zealand,107.473
06/02/2010,06/02/2010,N/A,NZ,New Zealand,94.584
07/02/2010,07/02/2010,N/A,NZ,New Zealand,95.555
08/02/2010,08/02/2010,N/A,NZ,New Zealand,107.799
09/02/2010,09/02/2010,N/A,NZ,New Zealand,110.566
10/02/2010,10/02/2010,N/A,NZ,New Zealand,113.004
11/02/2010,11/02/2010,N/A,NZ,New Zealand,111.337
12/02/2010,12/02/2010,N/A,NZ,New Zealand,111.578
13/02/2010,13/02/2010,N/A,NZ,New Zealand,103.165
14/02/2010,14/02/2010,N/A,NZ,New Zealand,100.192
15/02/2010,15/02/2010,N/A,NZ,New Zealand,111.511
16/02/2010,16/02/2010,N/A,NZ,New Zealand,111.766
17/02/2010,17/02/2010,N/A,NZ,New Zealand,112.438
18/02/2010,18/02/2010,N/A,NZ,New Zealand,113.942
19/02/2010,19/02/2010,N/A,NZ,New Zealand,109.025
20/02/2010,20/02/2010,N/A,NZ,New Zealand,100.052
21/02/2010,21/02/2010,N/A,NZ,New Zealand,97.731
22/02/2010,22/02/2010,N/A,NZ,New Zealand,112.202
23/02/2010,23/02/2010,N/A,NZ,New Zealand,113.458
24/02/2010,24/02/2010,N/A,NZ,New Zealand,114.259
25/02/2010,25/02/2010,N/A,NZ,New Zealand,114.799
26/02/2010,26/02/2010,N/A,NZ,New Zealand,109.592
27/02/2010,27/02/2010,N/A,NZ,New Zealand,98.771
28/02/2010,28/02/2010,N/A,NZ,New Zealand,98.672
01/03/2010,01/03/2010,N/A,NZ,New Zealand,112.048
02/03/2010,02/03/2010,N/A,NZ,New Zealand,113.332
03/03/2010,03/03/2010,N/A,NZ,New Zealand,114.213
04/03/2010,04/03/2010,N/A,NZ,New Zealand,113.471
05/03/2010,05/03/2010,N/A,NZ,New Zealand,111.047
06/03/2010,06/03/2010,N/A,NZ,New Zealand,101.791
07/03/2010,07/03/2010,N/A,NZ,New Zealand,97.362
08/03/2010,08/03/2010,N/A,NZ,New Zealand,109.755
09/03/2010,09/03/2010,N/A,NZ,New Zealand,111.868
10/03/2010,10/03/2010,N/A,NZ,New Zealand,112.343
11/03/2010,11/03/2010,N/A,NZ,New Zealand,112.979
12/03/2010,12/03/2010,N/A,NZ,New Zealand,111.190
13/03/2010,13/03/2010,N/A,NZ,New Zealand,101.352
14/03/2010,14/03/2010,N/A,NZ,New Zealand,99.226
15/03/2010,15/03/2010,N/A,NZ,New Zealand,111.095
16/03/2010,16/03/2010,N/A,NZ,New Zealand,112.345
17/03/2010,17/03/2010,N/A,NZ,New Zealand,114.188
18/03/2010,18/03/2010,N/A,NZ,New Zealand,113.627
19/03/2010,19/03/2010,N/A,NZ,New Zealand,111.918
20/03/2010,20/03/2010,N/A,NZ,New Zealand,103.388
21/03/2010,21/03/2010,N/A,NZ,New Zealand,99.950
22/03/2010,22/03/2010,N/A,NZ,New Zealand,112.706
23/03/2010,23/03/2010,N/A,NZ,New Zealand,114.704
24/03/2010,24/03/2010,N/A,NZ,New Zealand,116.227
25/03/2010,25/03/2010,N/A,NZ,New Zealand,114.092
26/03/2010,26/03/2010,N/A,NZ,New Zealand,112.759
27/03/2010,27/03/2010,N/A,NZ,New Zealand,102.927
28/03/2010,28/03/2010,N/A,NZ,New Zealand,102.005
29/03/2010,29/03/2010,N/A,NZ,New Zealand,112.182
30/03/2010,30/03/2010,N/A,NZ,New Zealand,113.057
31/03/2010,31/03/2010,N/A,NZ,New Zealand,114.227
01/04/2010,01/04/2010,N/A,NZ,New Zealand,114.898
02/04/2010,02/04/2010,N/A,NZ,New Zealand,100.384
03/04/2010,03/04/2010,N/A,NZ,New Zealand,100.846
04/04/2010,04/04/2010,N/A,NZ,New Zealand,98.824
05/04/2010,05/04/2010,N/A,NZ,New Zealand,97.969
06/04/2010,06/04/2010,N/A,NZ,New Zealand,111.165
07/04/2010,07/04/2010,N/A,NZ,New Zealand,113.140
08/04/2010,08/04/2010,N/A,NZ,New Zealand,111.825
09/04/2010,09/04/2010,N/A,NZ,New Zealand,109.467
10/04/2010,10/04/2010,N/A,NZ,New Zealand,99.530
11/04/2010,11/04/2010,N/A,NZ,New Zealand,100.058
12/04/2010,12/04/2010,N/A,NZ,New Zealand,112.522
13/04/2010,13/04/2010,N/A,NZ,New Zealand,114.717
14/04/2010,14/04/2010,N/A,NZ,New Zealand,114.175
15/04/2010,15/04/2010,N/A,NZ,New Zealand,115.970
16/04/2010,16/04/2010,N/A,NZ,New Zealand,112.547
17/04/2010,17/04/2010,N/A,NZ,New Zealand,104.250
18/04/2010,18/04/2010,N/A,NZ,New Zealand,98.998
19/04/2010,19/04/2010,N/A,NZ,New Zealand,113.335
20/04/2010,20/04/2010,N/A,NZ,New Zealand,112.417
21/04/2010,21/04/2010,N/A,NZ,New Zealand,114.244
22/04/2010,22/04/2010,N/A,NZ,New Zealand,115.570
23/04/2010,23/04/2010,N/A,NZ,New Zealand,114.388
24/04/2010,24/04/2010,N/A,NZ,New Zealand,101.455
25/04/2010,25/04/2010,N/A,NZ,New Zealand,97.549
26/04/2010,26/04/2010,N/A,NZ,New Zealand,110.915
27/04/2010,27/04/2010,N/A,NZ,New Zealand,114.061
28/04/2010,28/04/2010,N/A,NZ,New Zealand,114.672
29/04/2010,29/04/2010,N/A,NZ,New Zealand,114.335
30/04/2010,30/04/2010,N/A,NZ,New Zealand,112.856
01/05/2010,01/05/2010,N/A,NZ,New Zealand,102.923
02/05/2010,02/05/2010,N/A,NZ,New Zealand,99.641
03/05/2010,03/05/2010,N/A,NZ,New Zealand,118.561
04/05/2010,04/05/2010,N/A,NZ,New Zealand,115.269
05/05/2010,05/05/2010,N/A,NZ,New Zealand,115.765
06/05/2010,06/05/2010,N/A,NZ,New Zealand,117.941
07/05/2010,07/05/2010,N/A,NZ,New Zealand,116.454
08/05/2010,08/05/2010,N/A,NZ,New Zealand,105.534
09/05/2010,09/05/2010,N/A,NZ,New Zealand,99.807
10/05/2010,10/05/2010,N/A,NZ,New Zealand,110.850
11/05/2010,11/05/2010,N/A,NZ,New Zealand,113.297
12/05/2010,12/05/2010,N/A,NZ,New Zealand,115.002
13/05/2010,13/05/2010,N/A,NZ,New Zealand,111.349
