holiday,date
New Year's Day,2010-01-01
New Year's Day,2011-01-01
New Year's Day,2012-01-01
New Year's Day,2013-01-01
New Year's Day,2014-01-01
New Year's Day,2015-01-01
New Year's Day,2016-01-01
New Year's Day,2017-01-01
New Year's Day,2018-01-01
New Year's Day,2019-01-01
New Year's Day,2020-01-01
Day after New Year's Day,2010-01-02
Day after New Year's Day,2011-01-02
Day after New Year's Day,2012-01-02
Day after New Year's Day,2013-01-02
Day after New Year's Day,2014-01-02
Day after New Year's Day,2015-01-02
Day after New Year's Day,2016-01-02
Day after New Year's Day,2017-01-02
Day after New Year's Day,2018-01-02
Day after New Year's Day,2019-01-02
Day after New Year's Day,2020-01-02
Waitangi Day,2010-02-06
Good Friday,2010-04-02
Easter Monday,2010-04-05
ANZAC Day,2010-04-25
Queen's Birthday,2010-06-07
Labour Day,2010-10-25
Christmas Day,2010-12-25
Boxing Day,2010-12-26
Waitangi Day,2011-02-06
Good Friday,2011-04-22
Easter Monday,2011-04-25
ANZAC Day,2011-04-25
Queen's Birthday,2011-06-06
Labour Day,2011-10-24
Christmas Day,2011-10-25
Boxing Day,2011-10-26
Waitangi Day,2012-02-06
Good Friday,2012-04-06
Easter Monday,2012-04-09
ANZAC Day,2012-04-25
Queen's Birthday,2012-06-04
Labour Day,2012-10-22
Christmas Day,2012-12-25
Boxing Day,2012-12-26
Waitangi Day,2013-02-06
Good Friday,2013-03-29
Easter Monday,2013-04-01
ANZAC Day,2013-04-25
Queen's Birthday,2013-06-03
Labour Day,2013-10-28
Christmas Day,2013-12-25
Boxing Day,2013-12-26
Waitangi Day,2014-02-06
Good Friday,2014-04-18
Easter Monday,2014-04-21
ANZAC Day,2014-04-25
Queen's Birthday,2014-06-02
Labour Day,2014-10-27
Christmas Day,2014-12-25
Boxing Day,2014-12-26
Waitangi Day,2015-02-06
Good Friday,2015-04-03
Easter Monday,2015-04-06
ANZAC Day,2015-04-27
Queen's Birthday,2015-06-01
Labour Day,2015-10-26
Christmas Day,2015-12-25
Boxing Day,2015-12-26
Waitangi Day,2016-02-08
Good Friday,2016-03-25
Easter Monday,2016-03-28
ANZAC Day,2016-04-25
Queen's Birthday,2016-06-06
Labour Day,2016-10-24
Christmas Day,2016-12-25
Boxing Day,2016-12-26
Waitangi Day,2017-02-06
Good Friday,2017-04-14
Easter Monday,2017-04-17
ANZAC Day,2017-04-25
Queen's Birthday,2017-06-05
Labour Day,2017-10-23
Christmas Day,2017-12-25
Boxing Day,2017-12-26
Waitangi Day,2018-02-06
Good Friday,2018-03-30
Easter Monday,2018-04-02
ANZAC Day,2018-04-25
Queen's Birthday,2018-06-04
Labour Day,2018-10-22
Christmas Day,2018-12-25
Boxing Day,2018-12-26
Waitangi Day,2019-02-06
Good Friday,2019-04-19
Easter Monday,2019-04-22
ANZAC Day,2019-04-25
Queen's Birthday,2019-06-03
Labour Day,2019-10-28
Christmas Day,2019-12-25
Boxing Day,2019-12-26
Waitangi Day,2020-02-06
Good Friday,2020-04-10
Easter Monday,2020-04-13
ANZAC Day,2020-04-27
Queen's Birthday,2020-06-01
Labour Day,2020-10-26
Christmas Day,2020-12-25
Boxing Day,2020-12-26
Auckland anniversary,2010-02-01
Auckland anniversary,2011-01-31
Auckland anniversary,2012-01-30
Auckland anniversary,2013-01-28
Auckland anniversary,2014-01-27
Auckland anniversary,2015-01-26
Auckland anniversary,2016-02-01
Auckland anniversary,2017-01-30
Auckland anniversary,2018-01-29
Auckland anniversary,2019-01-28
Auckland anniversary,2020-01-27
