Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20100101:2259,9.9,24,D
4843,20100102:2259,7.1,24,D
4843,20100103:2259,1.8,24,D
4843,20100104:2259,9.7,24,D
4843,20100105:2259,12.0,24,D
4843,20100106:2259,7.9,24,D
4843,20100107:2259,6.9,24,D
4843,20100108:2259,7.4,24,D
4843,20100109:2259,9.1,24,D
4843,20100110:2259,1.7,24,D
4843,20100111:2259,4.7,24,D
4843,20100112:2259,10.7,24,D
4843,20100113:2259,0.1,24,D
4843,20100114:2259,2.9,24,D
4843,20100115:2259,9.0,24,D
4843,20100116:2259,0.5,24,D
4843,20100117:2259,0.0,24,D
4843,20100118:2259,1.1,24,D
4843,20100119:2259,2.3,24,D
4843,20100120:2259,4.1,24,D
4843,20100121:2259,1.3,24,D
4843,20100122:2259,0.0,24,D
4843,20100123:2259,0.0,24,D
4843,20100124:2259,0.2,24,D
4843,20100125:2259,11.3,24,D
4843,20100126:2259,6.4,24,D
4843,20100127:2259,8.8,24,D
4843,20100128:2259,9.1,24,D
4843,20100129:2259,3.4,24,D
4843,20100130:2259,12.3,24,D
4843,20100131:2259,12.4,24,D
4843,20100201:2259,13.4,24,D
4843,20100202:2259,7.4,24,D
4843,20100203:2259,9.3,24,D
4843,20100204:2259,12.8,24,D
4843,20100205:2259,9.6,24,D
4843,20100206:2259,7.7,24,D
4843,20100207:2259,1.1,24,D
4843,20100208:2259,0.3,24,D
4843,20100209:2259,5.6,24,D
4843,20100210:2259,0.0,24,D
4843,20100211:2259,0.0,24,D
4843,20100212:2259,8.7,24,D
4843,20100213:2259,7.1,24,D
4843,20100214:2259,1.3,24,D
4843,20100215:2259,0.3,24,D
4843,20100216:2259,9.5,24,D
4843,20100217:2259,0.1,24,D
4843,20100218:2259,0.0,24,D
4843,20100219:2259,13.0,24,D
4843,20100220:2259,11.8,24,D
4843,20100221:2259,8.3,24,D
4843,20100222:2259,12.4,24,D
4843,20100223:2259,13.0,24,D
4843,20100224:2259,10.4,24,D
4843,20100225:2259,9.1,24,D
4843,20100226:2259,10.9,24,D
4843,20100227:2259,12.7,24,D
4843,20100228:2259,5.4,24,D
4843,20100301:2259,1.2,24,D
4843,20100302:2259,10.1,24,D
4843,20100303:2259,11.1,24,D
4843,20100304:2259,11.5,24,D
4843,20100305:2259,4.4,24,D
4843,20100306:2259,7.4,24,D
4843,20100307:2259,9.7,24,D
4843,20100308:2259,9.8,24,D
4843,20100309:2259,10.8,24,D
4843,20100310:2259,10.0,24,D
4843,20100311:2259,0.0,24,D
4843,20100312:2259,3.4,24,D
4843,20100313:2259,3.8,24,D
4843,20100314:2259,6.0,24,D
4843,20100315:2259,8.0,24,D
4843,20100316:2259,9.1,24,D
4843,20100317:2259,7.8,24,D
4843,20100318:2259,1.9,24,D
4843,20100319:2259,7.8,24,D
4843,20100320:2259,1.8,24,D
4843,20100321:2259,0.3,24,D
4843,20100322:2259,5.3,24,D
4843,20100323:2259,9.6,24,D
4843,20100324:2259,1.0,24,D
4843,20100325:2259,10.9,24,D
4843,20100326:2259,8.9,24,D
4843,20100327:2259,0.5,24,D
4843,20100328:2259,1.3,24,D
4843,20100329:2259,7.1,24,D
4843,20100330:2259,8.6,24,D
4843,20100331:2259,6.3,24,D
4843,20100401:2259,8.8,24,D
4843,20100402:2259,6.1,24,D
4843,20100403:2259,9.9,24,D
4843,20100404:2359,0.2,24,D
4843,20100405:2359,3.0,24,D
4843,20100406:2359,0.0,24,D
4843,20100407:2359,7.7,24,D
4843,20100408:2359,9.6,24,D
4843,20100409:2359,9.8,24,D
4843,20100410:2359,9.6,24,D
4843,20100411:2359,9.0,24,D
4843,20100412:2359,9.0,24,D
4843,20100413:2359,0.1,24,D
4843,20100414:2359,7.9,24,D
4843,20100415:2359,8.3,24,D
4843,20100416:2359,10.2,24,D
4843,20100417:2359,3.7,24,D
4843,20100418:2359,7.0,24,D
4843,20100419:2359,4.7,24,D
4843,20100420:2359,9.4,24,D
4843,20100421:2359,8.8,24,D
4843,20100422:2359,9.6,24,D
4843,20100423:2359,7.4,24,D
4843,20100424:2359,0.0,24,D
4843,20100425:2359,0.5,24,D
4843,20100426:2359,0.0,24,D
4843,20100427:2359,0.8,24,D
4843,20100428:2359,1.1,24,D
4843,20100429:2359,0.4,24,D
4843,20100430:2359,4.3,24,D
4843,20100501:2359,7.1,24,D
4843,20100502:2359,8.7,24,D
4843,20100503:2359,3.5,24,D
